Species,Repository,Number,Carapace-plastron_width,Length-height,ecology,Specimen_number,Unique_ID,Carapace_width_height,Hand_webbing,Source
Cuora_galbinifrons,FLMNH,152473,1.29,1.9,terrestrial,FLMNH_152473,Cuora_galbinifrons_FLMNH_152473,1.43233945,1,Lichtig_and_Lucas_2017_original_measurement
Cuora_mouhotii,FLMNH,67485,1.44,2.71,terrestrial,FLMNH_67485,Cuora_mouhotii_FLMNH_67485,1.847036329,1,Lichtig_and_Lucas_2017_original_measurement
Cuora_mouhotii,FLMNH,45243,1.42,2.27,terrestrial,FLMNH_45243,Cuora_mouhotii_FLMNH_45243,1.953436807,1,Lichtig_and_Lucas_2017_original_measurement
Cuora_pani,FLMNH,78123,1.39,2.81,aquatic,FLMNH_78123,Cuora_pani_FLMNH_78123,2.165938865,2,Lichtig_and_Lucas_2017_original_measurement
Cuora_pani,FLMNH,78124,1.34,2.75,aquatic,FLMNH_78124,Cuora_pani_FLMNH_78124,2.203921569,2,Lichtig_and_Lucas_2017_original_measurement
Cuora_trifasciata,FLMNH,103395,1.29,2.76,aquatic,FLMNH_103395,Cuora_trifasciata_FLMNH_103395,1.951195219,2,Lichtig_and_Lucas_2017_original_measurement
Cuora_zhoui,FLMNH,84979,1.25,2.78,terrestrial,FLMNH_84979,Cuora_zhoui_FLMNH_84979,1.955172414,1,Lichtig_and_Lucas_2017_original_measurement
Cuora_zhoui,FLMNH,78752,1.32,2.74,terrestrial,FLMNH_78752,Cuora_zhoui_FLMNH_78752,2.080074488,1,Lichtig_and_Lucas_2017_original_measurement
Cuora_zhoui,FLMNH,103397,1.3,2.83,terrestrial,FLMNH_103397,Cuora_zhoui_FLMNH_103397,2.13003663,1,Lichtig_and_Lucas_2017_original_measurement
Cuora_zhoui,FLMNH,84978,1.24,2.58,terrestrial,FLMNH_84978,Cuora_zhoui_FLMNH_84978,1.941680961,1,Lichtig_and_Lucas_2017_original_measurement
Dermatemys_mawii,MPM,8283,2.55,2.41,aquatic,MPM_8283,Dermatemys_mawii_MPM_8283,2,2,Lichtig_and_Lucas_2017_original_measurement
